Date,Daily change in cumulative total,Positive rate,Country,Units,Source URL,Source label,Notes
2020-04-09,8866,0.0,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-10,8216,0.0,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-11,9031,0.0,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-12,10794,0.0,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-13,10660,0.0,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-14,15050,0.0,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-15,7169,0.102,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-16,12083,0.099,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-17,6045,0.107,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-18,8382,0.108,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-19,7850,0.121,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-20,4266,0.108,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-21,8197,0.14,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-22,14192,0.127,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-23,14838,0.132,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-24,13111,0.115,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-25,19846,0.133,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-26,14552,0.134,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-27,6816,0.135,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
2020-04-28,28049,0.12,Peru,tests performed,https://github.com/jmcastagnetto/covid-19-peru-data,National Institute of Health,
