Date,Daily change in cumulative total,Positive rate,Country,Units,Source URL,Source label,Notes
2020-02-27,9,0.0,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-02-28,358,0.0,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-02-29,15,0.0,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-01,16,0.0,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-02,26,0.0,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-03,51,0.0,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-04,85,0.029,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-05,80,0.025,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-06,105,0.053,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-07,20,0.068,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-08,14,0.089,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-09,122,0.107,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-10,128,0.182,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-11,163,0.271,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-12,349,0.255,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-13,409,0.208,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-14,595,0.153,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-15,644,0.132,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-16,868,0.112,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-17,1136,0.083,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-18,1025,0.071,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-19,775,0.073,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-20,1286,0.072,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-21,1603,0.07,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-22,1048,0.07,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-23,1316,0.07,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-24,1582,0.072,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-25,1848,0.067,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-26,1837,0.062,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
2020-03-27,2004,0.059,Finland,tests performed,https://sampo.thl.fi/pivot/prod/en/epirapo/covid19case/fact_epirapo_covid19case,Finnish Institute for Health and Welfare,
