"location","date","B (Lineage)","Omicron - BA.1.1 (WHO VOC)","Q (Lineage)","Other"
"Palestine","2020-03-08","100,0","0,0","0,0","0"
"Palestine","2020-03-22","100,0","0,0","0,0","0"
"Palestine","2020-04-05","100,0","0,0","0,0","0"
"Palestine","2020-06-28","100,0","0,0","0,0","0"
"Palestine","2020-07-12","100,0","0,0","0,0","0"
"Palestine","2020-07-26","100,0","0,0","0,0","0"
"Palestine","2020-08-09","100,0","0,0","0,0","0"
"Palestine","2020-08-23","100,0","0,0","0,0","0"
"Palestine","2020-11-15","100,0","0,0","0,0","0"
"Palestine","2020-11-29","100,0","0,0","0,0","0"
"Palestine","2020-12-13","100,0","0,0","0,0","0"
"Palestine","2021-01-10","100,0","0,0","0,0","0"
"Palestine","2021-02-07","40,0","0,0","60,0","0"
"Palestine","2021-04-18","5,263157894736842","0,0","94,73684210526315","0"
"Palestine","2022-01-23","0,0","100,0","0,0","0"
