"location","date","A (Lineage)","B (Lineage)","B.1.1.318 (WHO FMV)","Delta - AY.37 (WHO PVOC)","Delta - AY.4 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Eta - B.1.525 (WHO PVOI)","Omicron - BA.1.1 (WHO VOC)","R.1 (WHO FMV)","Other","Unknown"
"Sierra Leone","2020-01-05","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2020-01-19","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2020-01-26","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2020-02-02","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2020-02-16","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2020-03-01","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2020-03-15","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2020-03-29","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2020-04-05","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2020-04-12","0","0","0","0","0","0","0","0","0","0","9"
"Sierra Leone","2020-04-19","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2020-04-26","0","0","0","0","0","0","0","0","0","0","76"
"Sierra Leone","2020-05-03","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2020-05-10","0","0","0","0","0","0","0","0","0","0","205"
"Sierra Leone","2020-05-24","0","0","0","0","0","0","0","0","0","0","330"
"Sierra Leone","2020-06-07","0","0","0","0","0","0","0","0","0","0","325"
"Sierra Leone","2020-06-21","0","0","0","0","0","0","0","0","0","0","363"
"Sierra Leone","2020-07-05","0","0","0","0","0","0","0","0","0","0","224"
"Sierra Leone","2020-07-19","0","0","0","0","0","0","0","0","0","0","168"
"Sierra Leone","2020-08-02","0","0","0","0","0","0","0","0","0","0","134"
"Sierra Leone","2020-08-16","0","0","0","0","0","0","0","0","0","0","119"
"Sierra Leone","2020-08-30","0","0","0","0","0","0","0","0","0","0","65"
"Sierra Leone","2020-09-13","0","0","0","0","0","0","0","0","0","0","77"
"Sierra Leone","2020-09-27","0","0","0","0","0","0","0","0","0","0","112"
"Sierra Leone","2020-10-11","0","0","0","0","0","0","0","0","0","0","92"
"Sierra Leone","2020-10-25","0","0","0","0","0","0","0","0","0","0","45"
"Sierra Leone","2020-11-08","0","0","0","0","0","0","0","0","0","0","36"
"Sierra Leone","2020-11-22","0","0","0","0","0","0","0","0","0","0","24"
"Sierra Leone","2020-12-06","0","0","0","0","0","0","0","0","0","0","18"
"Sierra Leone","2020-12-13","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2020-12-20","0","0","0","0","0","0","0","0","0","0","74"
"Sierra Leone","2021-01-03","0","0","0","0","0","0","0","0","0","0","149"
"Sierra Leone","2021-01-10","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-01-17","0","0","0","0","0","0","0","0","0","0","324"
"Sierra Leone","2021-01-24","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-01-31","0","0","0","0","0","0","0","0","0","0","558"
"Sierra Leone","2021-02-07","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-02-14","0","0","0","0","0","0","0","0","0","0","293"
"Sierra Leone","2021-02-21","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-02-28","0","0","0","0","0","0","0","0","0","0","66"
"Sierra Leone","2021-03-14","0","0","0","0","0","0","0","0","0","0","50"
"Sierra Leone","2021-03-28","0","0","0","0","0","0","0","0","0","0","29"
"Sierra Leone","2021-04-04","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-04-11","0","0","0","0","0","0","0","0","0","0","34"
"Sierra Leone","2021-04-25","0","0","0","0","0","0","0","0","0","0","44"
"Sierra Leone","2021-05-09","0","0","0","0","0","0","0","0","0","0","24"
"Sierra Leone","2021-05-16","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-05-23","0","0","0","0","0","0","0","0","0","0","53"
"Sierra Leone","2021-06-06","0","0","0","0","0","0","0","0","0","0","67"
"Sierra Leone","2021-06-13","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-06-20","0","0","0","0","0","0","0","0","0","0","514"
"Sierra Leone","2021-06-27","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-07-04","0","0","0","0","0","0","0","0","0","0","1046"
"Sierra Leone","2021-07-11","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-07-18","0","0","0","0","0","0","0","0","0","0","418"
"Sierra Leone","2021-07-25","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-08-01","0","0","0","0","0","0","0","0","0","0","117"
"Sierra Leone","2021-08-15","0","0","0","0","0","0","0","0","0","0","55"
"Sierra Leone","2021-08-29","0","0","0","0","0","0","0","0","0","0","27"
"Sierra Leone","2021-09-12","0","0","0","0","0","0","0","0","0","0","14"
"Sierra Leone","2021-09-19","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-09-26","0","0","0","0","0","0","0","0","0","0","9"
"Sierra Leone","2021-10-10","0","0","0","0","0","0","0","0","0","0","8"
"Sierra Leone","2021-10-24","0","0","0","0","0","0","0","0","0","0","1"
"Sierra Leone","2021-11-07","0","0","0","0","0","0","0","0","0","0","1"
"Sierra Leone","2021-11-14","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-11-21","0","0","0","0","0","0","0","0","0","0","2"
"Sierra Leone","2021-11-28","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2021-12-05","0","0","0","0","0","0","0","0","0","0","3"
"Sierra Leone","2021-12-19","0","0","0","0","0","0","0","0","0","0","76"
"Sierra Leone","2022-01-02","0","0","0","0","0","0","0","0","0","0","635"
"Sierra Leone","2022-01-16","0","0","0","0","0","0","0","0","0","0","415"
"Sierra Leone","2022-01-30","0","0","0","0","0","0","0","0","0","0","86"
"Sierra Leone","2022-02-13","0","0","0","0","0","0","0","0","0","0","37"
"Sierra Leone","2022-02-27","0","0","0","0","0","0","0","0","0","0","13"
"Sierra Leone","2022-03-13","0","0","0","0","0","0","0","0","0","0","2"
"Sierra Leone","2022-03-27","0","0","0","0","0","0","0","0","0","0","7"
"Sierra Leone","2022-04-10","0","0","0","0","0","0","0","0","0","0","3"
"Sierra Leone","2022-04-24","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2022-05-08","0","0","0","0","0","0","0","0","0","0","5"
"Sierra Leone","2022-05-22","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2022-06-05","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2022-06-19","0","0","0","0","0","0","0","0","0","0","6"
"Sierra Leone","2022-07-03","0","0","0","0","0","0","0","0","0","0","14"
"Sierra Leone","2022-07-17","0","0","0","0","0","0","0","0","0","0","20"
"Sierra Leone","2022-07-31","0","0","0","0","0","0","0","0","0","0","11"
"Sierra Leone","2022-08-14","0","0","0","0","0","0","0","0","0","0","7"
"Sierra Leone","2022-08-28","0","0","0","0","0","0","0","0","0","0","6"
"Sierra Leone","2022-09-11","0","0","0","0","0","0","0","0","0","0","3"
"Sierra Leone","2022-09-25","0","0","0","0","0","0","0","0","0","0","1"
"Sierra Leone","2022-10-09","0","0","0","0","0","0","0","0","0","0","1"
"Sierra Leone","2022-10-23","0","0","0","0","0","0","0","0","0","0","2"
"Sierra Leone","2022-11-06","0","0","0","0","0","0","0","0","0","0","4"
"Sierra Leone","2022-11-20","0","0","0","0","0","0","0","0","0","0","2"
"Sierra Leone","2022-12-04","0","0","0","0","0","0","0","0","0","0","1"
"Sierra Leone","2022-12-18","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2023-01-01","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2023-01-15","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2023-01-29","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2023-02-12","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2023-02-26","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","2023-03-12","0","0","0","0","0","0","0","0","0","0","0"
