"location","date","A (Lineage)","AU.3 (WHO FMV)","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Delta - AY.39 (WHO PVOC)","Delta - AY.82 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Other"
"Fiji","2020-03-22","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Fiji","2020-04-05","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Fiji","2020-09-06","0,0","0,0","0,0","50,0","0,0","50,0","0,0","0"
"Fiji","2020-11-29","66,66666666666666","0,0","0,0","33,33333333333333","0,0","0,0","0,0","0"
"Fiji","2020-12-13","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Fiji","2021-01-10","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Fiji","2021-02-07","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
"Fiji","2021-03-07","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Fiji","2021-03-21","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Fiji","2021-04-18","0,0","0,0","16,666666666666664","0,0","0,0","0,0","83,33333333333334","0"
"Fiji","2021-05-02","0,0","0,0","6,666666666666667","0,0","6,666666666666667","20,0","66,66666666666666","0"
"Fiji","2021-05-16","0,0","0,0","0,0","0,0","0,0","63,1578947368421","36,84210526315789","0"
"Fiji","2021-05-30","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Fiji","2021-06-13","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Fiji","2021-06-27","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Fiji","2021-07-11","0,0","0,0","0,0","0,0","0,0","99,26470588235294","0,7352941176470588","0"
