"location","date","Alpha (WHO VOC)","B (Lineage)","B.1.160 - 20A/EU2","Other"
"Palestina","2020-03-08","0,0","100,0","0,0","0,0"
"Palestina","2020-03-22","0,0","100,0","0,0","0,0"
"Palestina","2020-04-05","0,0","100,0","0,0","0,0"
"Palestina","2020-04-19","0,0","100,0","0,0","0,0"
"Palestina","2020-05-17","0,0","0,0","0,0","100,0"
"Palestina","2020-06-28","0,0","100,0","0,0","0,0"
"Palestina","2020-07-12","0,0","100,0","0,0","0,0"
"Palestina","2020-07-26","0,0","100,0","0,0","0,0"
"Palestina","2020-08-09","0,0","100,0","0,0","0,0"
"Palestina","2020-08-23","0,0","100,0","0,0","0,0"
"Palestina","2020-10-18","0,0","50,0","50,0","0,0"
"Palestina","2020-11-15","0,0","100,0","0,0","0,0"
"Palestina","2020-11-29","0,0","100,0","0,0","0,0"
"Palestina","2020-12-13","0,0","100,0","0,0","0,0"
"Palestina","2021-01-10","0,0","100,0","0,0","0,0"
"Palestina","2021-03-21","100,0","0,0","0,0","0,0"
"Palestina","2021-04-18","84,21052631578947","5,263157894736842","0,0","10,526315789473683"
