"label","pango","interest","type"
"Alpha","B.1.1.7","WHO","VOC"
"Beta","B.1.351.*, B.1.351.2, B.1.351.3","WHO","VOC"
"Delta","B.1.617.2, AY.1.*, AY.2.*, AY.3.*, AY.3.1.*","WHO","VOC"
"Gamma - P.1","P.1.*, P.1.1.*, P.1.2.*, P.1.4.*, P.1.6.*, P.1.7.*","WHO","VOC"
"Eta","B.1.525.*","WHO","VOI"
"Iota","B.1.526.*","WHO","VOI"
"Kappa","B.1.617.1","WHO","VOI"
"Lambda","C.37.*","WHO","VOI"
"B.1.1.318","B.1.1.318","WHO","AFM"
"B.1.1.519","B.1.1.519","WHO","AFM"
"B.1.1.523","B.1.1.523","WHO","AFM"
"B.1.214.2","B.1.214.2","WHO","AFM"
"B.1.466.2","B.1.466.2","WHO","AFM"
"B.1.619","B.1.619.*","WHO","AFM"
"B.1.619.1","B.1.619.1","WHO","AFM"
"B.1.620","B.1.620.*","WHO","AFM"
"B.1.621","B.1.621.*","WHO","AFM"
"B.1.621.1","B.1.621.1","WHO","AFM"
"C.36.3","C.36.3.*","WHO","AFM"
"C.36.3.1","C.36.3.1","WHO","AFM"
"Epsilon","B.1.427.*, B.1.429.*","WHO","AFM"
"R.1","R.1.*","WHO","AFM"
"B.1.617.3","B.1.617.3","CDC","VOI"
"Theta - P.3","P.3.*","ECDC","VOI"
"A.23.1","A.23.1.*","ECDC","VUM"
"A.27","A.27.*","ECDC","VUM"
"A.28","A.28.*","ECDC","VUM"
"AT.1","AT.1.*","ECDC","VUM"
"AV.1","AV.1.*","ECDC","VUM"
"B.1.671.2","B.1.671.2","ECDC","VUM"
"C.1.2","C.1.2.*","ECDC","VUM"
"C.16","C.16.*","ECDC","VUM"
"C.36","C.36","ECDC","VUM"
"Zeta - P.2","P.2.*","ECDC","VUM"
"P.6","P.6.*","UY-GTI","VOC"
"B.1.1.28","B.1.1.28","",""
"B.1.160 - 20A/EU2","B.1.160.*","",""
"B.1.177 - 20E/EU1","B.1.177.*","",""
"B.1.616","B.1.616.*","",""
"B.1.623","B.1.623.*","PHE","VUI"
"Delta - AY.10","AY.10.*","",""
"Delta - AY.11","AY.11.*","",""
"Delta - AY.15","AY.15.*","",""
"Delta - AY.4","AY.4.*","",""
"Delta - AY.5","AY.5.*","",""
"Delta - AY.6","AY.6.*","",""
"Delta - AY.7","AY.7.*","",""
"Delta - AY.8","AY.8.*","",""
"Delta - AY.9","AY.9.*","",""
"P.7","P.7.*","",""
"R.2","R.2.*","",""
