"location","date","AJ (Lineage)","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","B.1.1.28","B.1.1.318 (WHO FMV)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.221 - 20A/S:98F","Delta - AY.10 (WHO PVOC)","Delta - AY.107 (WHO PVOC)","Delta - AY.112 (WHO PVOC)","Delta - AY.119 (WHO PVOC)","Delta - AY.120 (WHO PVOC)","Delta - AY.121 (WHO PVOC)","Delta - AY.122 (WHO PVOC)","Delta - AY.122.2 (WHO PVOC)","Delta - AY.123.1 (WHO PVOC)","Delta - AY.124 (WHO PVOC)","Delta - AY.125 (WHO PVOC)","Delta - AY.126 (WHO PVOC)","Delta - AY.127 (WHO PVOC)","Delta - AY.25 (WHO PVOC)","Delta - AY.3 (WHO PVOC)","Delta - AY.33 (WHO PVOC)","Delta - AY.33.2 (WHO PVOC)","Delta - AY.34 (WHO PVOC)","Delta - AY.36 (WHO PVOC)","Delta - AY.39 (WHO PVOC)","Delta - AY.4 (WHO PVOC)","Delta - AY.4.1 (WHO PVOC)","Delta - AY.4.16 (WHO PVOC)","Delta - AY.4.2 (WHO PVOC)","Delta - AY.4.2.2 (WHO PVOC)","Delta - AY.4.3 (WHO PVOC)","Delta - AY.4.8 (WHO PVOC)","Delta - AY.4.9 (WHO PVOC)","Delta - AY.42 (WHO PVOC)","Delta - AY.43 (WHO PVOC)","Delta - AY.44 (WHO PVOC)","Delta - AY.46 (WHO PVOC)","Delta - AY.46.6 (WHO PVOC)","Delta - AY.5 (WHO PVOC)","Delta - AY.51 (WHO PVOC)","Delta - AY.53 (WHO PVOC)","Delta - AY.6 (WHO PVOC)","Delta - AY.65 (WHO PVOC)","Delta - AY.71 (WHO PVOC)","Delta - AY.75 (WHO PVOC)","Delta - AY.9 (WHO PVOC)","Delta - AY.9.2 (WHO PVOC)","Delta - AY.90 (WHO PVOC)","Delta - AY.94 (WHO PVOC)","Delta - AY.98 (WHO PVOC)","Delta - AY.98.1 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Mu - 21H - B.1.621 (WHO PVOI)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.1.15.1 (WHO VOC)","Omicron - BA.1.16 (WHO VOC)","Omicron - BA.1.17 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Other"
"Gibraltar","2021-04-18","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Gibraltar","2021-06-13","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Gibraltar","2021-07-25","0,0","5,214723926380368","0,0","0,0","0,3067484662576687","0,0","0,0","0,0","0,0","0,6134969325153374","0,0","0,0","0,3067484662576687","0,0","0,0","0,0","0,0","0,9202453987730062","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,3067484662576687","57,97546012269939","0,9202453987730062","0,0","0,0","0,0","0,0","0,0","0,0","0,9202453987730062","10,122699386503067","0,3067484662576687","0,9202453987730062","0,0","0,0","0,0","0,0","0,3067484662576687","0,0","0,0","0,0","0,0","19,018404907975462","0,0","0,6134969325153374","0,0","0,3067484662576687","0,6134969325153374","0,3067484662576687","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Gibraltar","2021-08-08","0,0","0,0","0,37593984962406013","0,0","0,0","0,0","0,0","0,0","0,37593984962406013","0,0","0,0","0,0","0,0","0,0","1,5037593984962405","0,0","0,0","3,007518796992481","0,0","0,0","0,0","0,0","0,0","0,37593984962406013","0,0","0,0","0,37593984962406013","0,0","37,96992481203007","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,1278195488721803","15,413533834586465","0,0","2,631578947368421","0,0","0,37593984962406013","0,0","1,5037593984962405","1,1278195488721803","0,0","0,37593984962406013","0,37593984962406013","0,0","29,69924812030075","0,0","0,0","1,1278195488721803","0,0","2,2556390977443606","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Gibraltar","2021-08-22","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,7874015748031495","0,0","0,0","3,937007874015748","0,7874015748031495","0,0","0,0","0,0","0,0","7,086614173228346","0,0","0,0","0,0","0,0","37,79527559055118","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,3622047244094486","18,11023622047244","0,0","0,0","0,0","0,7874015748031495","0,7874015748031495","0,7874015748031495","0,7874015748031495","3,937007874015748","0,0","0,0","0,0","15,748031496062993","0,7874015748031495","0,0","2,3622047244094486","0,7874015748031495","2,3622047244094486","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Gibraltar","2021-09-05","0,0","0,0","0,0","0,0","0,0","0,0","2,4390243902439024","0,0","0,0","0,0","3,6585365853658534","0,0","1,2195121951219512","0,0","4,878048780487805","0,0","0,0","0,0","1,2195121951219512","0,0","0,0","0,0","0,0","3,6585365853658534","0,0","1,2195121951219512","0,0","0,0","19,51219512195122","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,536585365853659","0,0","0,0","0,0","10,975609756097562","0,0","0,0","0,0","2,4390243902439024","0,0","0,0","2,4390243902439024","24,390243902439025","0,0","0,0","13,414634146341465","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Gibraltar","2021-09-19","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,0","0,0","0,0","0,0","20,0","0,0","0,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Gibraltar","2021-10-17","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Gibraltar","2021-10-31","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,1904761904761905","0,0","0,0","0,0","0,0","0,0","0,0","3,571428571428571","0,0","0,0","0,0","0,0","0,0","0,0","0,0","54,761904761904766","0,0","0,0","1,1904761904761905","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,142857142857142","0,0","0,0","0,0","0,0","32,142857142857146","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Gibraltar","2021-11-14","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,5789473684210527","1,0526315789473684","0,0","0,5263157894736842","0,0","0,0","0,0","0,5263157894736842","12,105263157894736","0,0","0,0","0,0","0,0","0,0","0,0","0,0","54,736842105263165","0,0","8,421052631578947","3,1578947368421053","0,0","0,5263157894736842","0,0","0,0","0,0","0,0","0,0","0,0","4,736842105263158","0,0","0,0","0,0","0,0","11,578947368421053","0,0","0,0","0,0","0,0","0,0","0,0","1,0526315789473684","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Gibraltar","2021-11-28","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,728395061728395","0,0","0,24691358024691357","0,0","0,0","0,0","0,0","0,24691358024691357","4,691358024691358","0,0","0,0","0,0","0,24691358024691357","0,0","0,0","0,0","48,39506172839506","0,0","24,444444444444443","0,9876543209876543","0,0","0,7407407407407408","0,0","0,24691358024691357","0,0","1,4814814814814816","0,0","0,0","4,197530864197531","0,24691358024691357","0,0","0,0","0,0","7,654320987654321","0,0","0,0","0,0","0,0","0,0","0,0","0,24691358024691357","3,45679012345679","0,7407407407407408","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Gibraltar","2021-12-12","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,38461538461538464","0,38461538461538464","0,0","1,153846153846154","0,38461538461538464","0,0","0,0","0,0","0,0","0,0","3,8461538461538463","0,0","0,0","0,0","12,692307692307692","0,0","0,0","0,0","42,30769230769231","0,0","14,615384615384617","0,7692307692307693","1,9230769230769231","0,0","0,38461538461538464","0,0","0,0","4,615384615384616","0,0","0,0","7,307692307692308","0,38461538461538464","0,0","0,0","0,0","0,38461538461538464","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,153846153846154","0,0","0,0","0,38461538461538464","0,0","5,0","0,0","1,153846153846154","0,0","0,7692307692307693","0"
"Gibraltar","2021-12-26","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,225806451612903","0,4608294930875576","0,0","0,0","0,0","0,9216589861751152","0,0","0,0","0,0","4,6082949308755765","0,4608294930875576","0,4608294930875576","0,0","5,529953917050691","0,0","0,4608294930875576","0,0","16,589861751152075","0,0","5,0691244239631335","1,3824884792626728","2,7649769585253456","0,0","0,0","0,0","0,0","5,0691244239631335","0,0","0,0","3,225806451612903","0,0","0,0","0,0","0,0","1,3824884792626728","0,0","0,0","0,0","0,9216589861751152","0,0","0,0","0,0","0,9216589861751152","0,9216589861751152","0,0","11,52073732718894","2,7649769585253456","11,981566820276496","1,3824884792626728","5,529953917050691","2,3041474654377883","10,138248847926267","0"
