"location","date","A (Lineage)","Alpha (WHO VOC)","B (Lineage)","Delta (WHO VOC)","Delta - AY.25 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.39 (WHO VOC)","Epsilon (WHO AFM)"
"Northern Mariana Islands","2020-07-12","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2020-07-26","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2020-08-09","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2020-08-23","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2020-09-06","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2020-09-20","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2020-10-04","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2020-10-18","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2020-11-01","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2020-11-15","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2020-11-29","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2020-12-13","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2020-12-27","33,33333333333333","0,0","66,66666666666666","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2021-01-10","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2021-01-24","0,0","0,0","50,0","0,0","0,0","0,0","0,0","50,0"
"Northern Mariana Islands","2021-02-21","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2021-03-21","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2021-04-04","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2021-05-02","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Northern Mariana Islands","2021-07-11","0,0","0,0","0,0","50,0","0,0","50,0","0,0","0,0"
"Northern Mariana Islands","2021-07-25","0,0","25,0","0,0","50,0","0,0","0,0","25,0","0,0"
"Northern Mariana Islands","2021-08-08","0,0","0,0","0,0","14,285714285714285","14,285714285714285","0,0","71,42857142857143","0,0"
